0000(沈阳-北京) 120000421606
0000(通辽-上海) 16000043100C
D1(北京-沈阳) 24000000D10R
G1(北京南-上海虹桥) 24000000G10D
Z1(北京西-长沙) 24000000Z100
D2(沈阳-北京) 12000000D20H
G2(上海虹桥-北京南) 5l000000G230
Z2(长沙-北京西) 62000000Z200
D3(北京-沈阳北) 24000000D30P
G3(北京南-上海虹桥) 24000000G307
Z3(北京西-重庆北) 24000000Z30H
D4(沈阳北-北京) 12000000D40D
G4(上海虹桥-北京南) 5l000000G430
Z4(重庆北-北京西) 77000000Z400
D5(北京-沈阳北) 24000000D50P
G5(北京南-上海虹桥) 24000000G502
Z5(北京西-南宁) 24000000Z506
K5(西安-成都) 41000000K50E
D6(沈阳北-北京) 12000000D60E
G6(上海虹桥-北京南) 5l000000G601
Z6(南宁-北京西) 71000000Z602
K6(成都-西安) 76000000K607
D7(北京-沈阳北) 24000000D70J
G7(北京南-上海虹桥) 24000000G702
T7(北京西-成都) 24000000T70X
Z7(北京-青岛北) 24000000Z703
D8(沈阳北-北京) 12000000D807
Z8(青岛北-北京) 49000000Z803
G8(上海虹桥-北京南) 5l000000G811
T8(成都-北京西) 76000000T806
D9(北京-沈阳北) 24000000D90F
T9(北京西-重庆北) 24000000T90R
Z9(北京-杭州) 24000000Z90I
D10(沈阳北-北京) 1200000D100F
Z10(杭州-北京) 5600000Z1020
T10(重庆北-北京西) 7700000T1006
D11(北京-沈阳北) 2400000D110Q
G11(北京南-上海虹桥) 2400000G110F
Z11(广州东-沈阳北) 6500000Z1401
D12(沈阳北-北京) 1200000D120L
Z12(沈阳北-广州东) 1200000Z1205
G12(上海虹桥-北京南) 5l00000G1222
Z13(沈阳北-广州东) 1200000Z1205
D13(北京-沈阳) 2400000D130R
G13(北京南-上海虹桥) 2400000G1305
D14(沈阳-北京) 1200000D1400
G14(上海虹桥-北京南) 5l00000G1440
Z14(广州东-沈阳北) 6500000Z1401
D15(北京-沈阳) 2400000D150V
G15(北京南-上海虹桥) 2400000G150B
Z15(北京-哈尔滨) 2400000Z150C
K15(济南-重庆北) 4700000K1505
Z16(哈尔滨-北京) 0100000Z1608
D16(沈阳-北京) 1200000D160Q
G16(上海虹桥-北京南) 5l00000G1611
K16(重庆北-济南) 7700000K1604
D17(北京-沈阳北) 2400000D170D
G17(北京南-上海虹桥) 2400000G1708
T17(北京-牡丹江) 2400000T170S
Z17(北京-哈尔滨) 2400000Z170B
Z18(哈尔滨-北京) 0100000Z1803
T18(牡丹江-北京) 0300000T1802
D18(沈阳北-北京) 1200000D1808
G18(上海虹桥-北京南) 5l00000G1826
D19(北京-长春) 2400000D190L
G19(北京南-绍兴北) 2400000G190C
Z19(北京西-西安) 2400000Z190H
D20(长春-北京) 1100000D2007
Z20(西安-北京西) 4100000Z200H
G20(杭州东-北京南) 5600000G2000
D21(北京-珲春) 2400000D2110
G21(北京南-上海虹桥) 2400000G2108
K21(北京西-南宁) 2400000K2111
Z21(北京西-拉萨) 2400000Z2107
D22(珲春-北京) 1c00000D2202
G22(上海虹桥-北京南) 5l00000G2218
K22(南宁-北京西) 7100000K2220
Z22(拉萨-北京西) 8800000Z2203
D23(北京-长春) 2400000D230S
G23(北京南-上海虹桥) 2400000G2300
Z23(武昌-深圳) 3900000Z2310
